No.	Music	Author
81	Symphony No.9 in E minor Op.95 B.178 From the New World Mov.2 Goin’ Home	Antonín Leopold Dvořák
82	An der schönen blauen Donau Op.314	Johann Strauß II
83	Radetzky-Marsch Op.228	Johann Strauß I
84	Toccata und Fuge d moll BWV565	Johann Sebastian Bach
85	Tableaux d’une exposition Promenade	Modest Petrovich Mussorgsky
86	Pomp and Circumstance Op.39 No.1	Sir Edward William Elgar
87	Impromptu cis moll Op.66	Frédéric François Chopin
88	Scherzo b moll Op.31	Frédéric François Chopin
89	12 Etudes c moll Op.10-12	Frédéric François Chopin
90	Impromptus D 935 Op.142-3 B dur	Franz Peter Schubert
91	Rondo D dur K.485	Wolfgang Amadeus Mozart
92	Französische Suiten Nr.5 G dur BWV 816 Gavotte	Johann Sebastian Bach
93	Sechs Gesänge Op.34-2 Auf Flügeln des Gesanges	Jakob Ludwig Felix Mendelssohn Bartholdy
94	Csikos Post	Hermann Necke
95	12 Variationen über ein französisches Lied ‘Ah,vous dirai-je, maman’ C dur K.265 K6.300e	Wolfgang Amadeus Mozart
96	Lieder ohne Worte Heft 5 Op.62-6 Frühlingslied	Jakob Ludwig Felix Mendelssohn Bartholdy
97	Les Patineurs Op.183	Émile Waldteufel
98	Sonate für Klavier Nr.8 c moll Pathetique Op.13 2.Satz	Ludwig van Beethoven
99	3 Valses No.7 Op.64-2 cis moll	Frédéric François Chopin
100	Sonate für Klavier Nr.11 A dur K.331 K6.300i Mov.1	Wolfgang Amadeus Mozart
101	Violinromanze Nr.2 F dur Op.50	Ludwig van Beethoven
102	Polonaisen 3 Militaire A dur Op.40-1	Frédéric François Chopin
103	Carmen Habanera	Georges Bizet
104	Ein Sommernachtstraum Wedding March Op.61-9	Jakob Ludwig Felix Mendelssohn Bartholdy
105	Beautiful Dreamer	Stephen Collins Foster
106	Toy Symphony	Johann Georg Leopold Mozart
107	Liebestraume 3 Notturnos S.541 R.211 As dur	Franz Liszt
108	Walkürenritt Ride of the Valkyries	Wilhelm Richard Wagner
109	Sonate für Klavier und Violine Nr.5 F dur “Frühling” Op.24	Ludwig van Beethoven
110	L’Arlésienne Menuett	Georges Bizet
111	The Bridal Chorus from the opera Lohengrin	Wilhelm Richard Wagner
112	Madama Butterfly Un bel dì, vedremo	Giacomo Antonio Domenico Michele Secondo Maria Puccini
113	Concerto for piano and orchestra No.1 Op.23 Mov.1	Pyotr Il’yich Tchaikovsky
114	Symphony No.1 Op.68 C major	Johannes Brahms
115	L’amico Fritz	Pietro Mascagnit
116	Pièces de clavecin avec une méthode sur la mécanique des doigts “Tambourin”	Jean-Philippe Rameau
117	Symphony No.4 A major Op.90	Jakob Ludwig Felix Mendelssohn Bartholdy
118	Sonatine Op.36-4 F dur 1.Satz	Muzio Filippo Vincenzo Francesco Saverio Clementi
119	Son tutta duolo	Alessandro Scarlatti
120	What a Friend We Have in Jesus	Charles Crozat Converse
121	Sonatine Op.36-5 G dur	Muzio Filippo Vincenzo Francesco Saverio Clementi
122	Impromptus D.935 Op.142 B dur	Franz Peter Schubert
123	Tre giorni son che Nina	Giovanni Battista Pergolesi
124	Rhapsody in Blue	George Gershwin
125	Sonatine Op.20-3 F dur	Daniel Friedrich Rudolph Kuhlau
126	La traviata Parigi o cara noi lasciaremo	Giuseppe Fortunino Francesco Verdi
127	Corrente	Girolamo Frescobaldi
128	Sonate für Klavier Nr.27 e moll Op.90 1.Satz	Ludwig van Beethoven
129	Ungarische Rhapsodie S.244 Nr.2 cis moll	Franz Liszt
130	The nutcracker suite Op.71a “Trepak”	Pyotr Il’yich Tchaikovsky
131	Sonate für Klavier Nｒ.7 D dur Op.10-3 3.Satz	Ludwig van Beethoven
132	Musikalisches Zeitvertreib Op.22 Schlag-aria	Johann Valentin Rathgeber
133	Sonate für Klavier Nr.15 C dur K.545 3.Satz	Wolfgang Amadeus Mozart
134	Sonate für Klavier Nｒ.3 C dur Op.2-3 4.Satz	Ludwig van Beethoven
135	Peer Gynt Suite No.1 Op.46 Åses Død	Edvard Hagerup Grieg
136	Concerto for Flute & Harp K299 Mov.1	Wolfgang Amadeus Mozart
137	Sonate für Klavier Nr.19 g moll Op.49-1 2.Satz	Ludwig van Beethoven
138	Horn Concerto No.1 D major	Wolfgang Amadeus Mozart
139	Les saisons 12 Morceaux caracteristiques Op.37bis No.6 “Barcarolle”	Pyotr Il’yich Tchaikovsky
140	Symphony No.7 A major Op.92 Mov.4	Ludwig van Beethoven
141	Rondo brillante “Aufforderung zum Tanz” Op.65	Carl Maria Friedrich Ernst von Weber
142	Star vicino	Salvator Rosa
143	Flute Concerto La notte RV.439 Op.10 No.2	Antonio Lucio Vivaldi
144	Sonatine Op.36-1	Muzio Filippo Vincenzo Francesco Saverio Clementi
145	Se florindo e fedele	Alessandro Scarlatti
146	5 Mazurka No.5 Op.7-1 B dur	Frédéric François Chopin
147	Vittoria, mio core!	Giacomo Carissimi
148	Sonatine Op.20-1 C dur	Daniel Friedrich Rudolph Kuhlau
149	Caro mio ben	Giuseppe Giordani
150	Adagio	Heinrich Joseph Barmann
151	Massa’s in De Cold Ground	Stephen Collins Foster
152	Allegretto No.4	Louis A. Saint-Jacome
153	La cinquantaine	Gabriel Prosper Marie
154	Le Coucou	Louis-Claude Daquin
155	Gavotte	Christoph Graupner
156	La Gemissante Rondeau	Jean-François Dandrieu
157	Pièces de clavecin avec une méthode sur la mécanique des doigts “La joyeuse”	Jean-Philippe Rameau
158	Sonatine Op.20 Nr.1	Johann Ladislaus Dussek
159	String Quartet No.73 F dur Op.74-2 Hob.III:73 “The Military Quartet”	Franz Joseph Haydn
160	Rigaudon	Georg Böhm
161	Sonate für Klavier Nｒ.5 c moll Op.10-1 3.Satz	Ludwig van Beethoven
162	Die schöne Müllerin Op.25 D.795 Wohin?	Franz Peter Schubert
163	Fanfare	Johann Philipp Kirnberger
164	A musical snuffbox Op.32	Lyadov, Anatoly Konstantinovich
165	Sonate für Klavier Nr.20 G dur Op.49-2 1.Satz	Ludwig van Beethoven
166	Symphony No.7 A major Op.92 Mov.1	Ludwig van Beethoven
167	Divertimento No.1 in B flat major “Chorale St. Antoni” Hob.II:46	Franz Joseph Haydn
168	Light Cavalry Overture	Franz von Suppe
169	Sonate für Klavier Nｒ.5 c moll Op.10-1 1.Satz	Ludwig van Beethoven
170	Sonate für Klavier Nr.8 c moll “Pathetique” Op.13 1.Satz	Ludwig van Beethoven
171	Musical Parnassus Euterpe Suite No.6 Chaconne	Johann Caspar Ferdinand Fischer
172	Sonata K.531 L.430	Domenico Scarlatti
173	Sonatine Op.36-3 C dur	Muzio Filippo Vincenzo Francesco Saverio Clementi
174	Winterreise D.911 Op.89 Gute Nacht	Franz Peter Schubert
175	Hunting	Louis A. Saint-Jacome
176	The little nigar	Claude Achille Debussy
177	La sonnambula	Vincenzo Bellini
178	Rondo D dur K.485	Wolfgang Amadeus Mozart
179	Pizzicato Polka	Johann Baptist Strauß
180	Symphony No.6 “Pateticheskaya” Op.74	Pyotr Il’yich Tchaikovsky
181	Rondo grazioso No.25	Louis A. Saint-Jacome
182	Sonate für Klavier Nｒ.6 F dur Op.10-2 1.Satz	Ludwig van Beethoven
183	24 Caprices for Solo Violin No.24 Quasi Presto	Niccolò Paganinit
184	Sonate für Klavier Nr.26 Es dur “Lebewohl” Op.81a 1.Satz	Ludwig van Beethoven
185	Lento cantabile grandioso No.7	Louis A. Saint-Jacome
186	Annen-Polka Op.117	Johann Baptist Strauß
187	Sonate für Klavier Nｒ.3 C dur Op.2-3 1.Satz	Ludwig van Beethoven
188	Sonate für Klavier Nr.4 Es dur Op.7 4.Satz	Ludwig van Beethoven
189	Petere es a farkas Op.67	Prokof’ev, Sergei Sergeevich
190	Menuet en Rondeau C major	Jean-Philippe Rameau
191	Winterreise D.911 Op.89 Frühlingstraum	Franz Peter Schubert
192	Le Coq d’Or Hymn to the Sun	Nikolai Andreyevich Rimsky-Korsakov
193	Simple aveu Op.25	Francis Thomé
194	Romance	Pyotr Il’yich Tchaikovsky
195	Deux Mélodies Op.3-1 F dur	Rubinstein Anton
196	2 Marches caracteristiques D.968 B.886 Op.121 C dur	Franz Peter Schubert
197	Die Lorelei	Phillipp Friedrich Silcher
198	Music for the Royal Fireworks HWV 351 II bourrée	Georg Friedrich Händel
199	La jolie fille de Perth sérénade	Georges Bizet
200	Gigue	Jean-Baptiste de Lully
201	Hornpipe G minor	Henry Purcell
202	Pièces de clavecin avec une méthode sur la mécanique des doigts “Premier rigaudon”	Jean-Philippe Rameau
203	Quartet for 2 Violins, Viola and Violoncello D major 3 Nocturne	Alexander Porfir’evich Borodin
204	Sonate für Klavier Nr.4 Es dur Op.7 1.Satz	Ludwig van Beethoven
205	Peer Gynt Suite Nr.2 Op.55 I dovregubbens hall	Edvard Hagerup Grieg
206	Die Fledermaus Overture Op.367	Johann Baptist Strauß
207	Gavotte F major	Jean Paul Egide Martini
208	Goldberg-Variationen Aria BWV 988	Johann Sebastian Bach
209	Suite No.6 G major La Coquette R.130	Georg Muffat
210	La Molinara Nel cor pìù non mi sento	Giovanni Paisiello
211	Sonate für Klavier Nr.8 c moll “Pathetique” Op.13 3.Satz	Ludwig van Beethoven
212	Sleeping Beauty Op.66	Pyotr Il’yich Tchaikovsky
213	Menuett G dur K.1	Wolfgang Amadeus Mozart
214	19 Polish Songs Op.74 No.1 Zyczenie	Frédéric François Chopin
215	Ungarische Tänze Nr.1 WoO.1	Johannes Brahms
216	Valse No.10 Op.69-2 h moll	Frédéric François Chopin
217	Valse No.14 Op.posth e moll	Frédéric François Chopin
218	Menuett	Johann Mattheson
219	Parthenia Pavana and galiardo,The Earle of Salisbury	William Byrd
220	Così fan tutte, ossia La scuola degli amanti K.588	Frédéric François Chopin
221	Dimmi,amor	Arcangelo del Leuto
222	Fantaisie “Wandererfantasie” D.760 Op.15	Franz Peter Schubert
223	7 Marionnettes No.2 Poupee valsante	Eduard Poldini
224	Ungariche Tänze WoO.1 Nr.5 fis moll	Johannes Brahms
225	Ein Sommernachtstraum Notturno Op.61-7	Jakob Ludwig Felix Mendelssohn Bartholdy
226	Etude No.23	Louis A. Saint-Jacome
227	Don Giovanni K.527	Wolfgang Amadeus Mozart
228	Le nouve musichi Amarilli	Giulio Caccini
229	Symphony No.1 Op.68 C major	Johannes Brahms
230	Scheherazade Op.35	Rimsky-Korsakov, Nikolai Andreevich
231	Andantino No.4	Louis A. Saint-Jacome
232	Gigue	Georg Philipp Telemann
233	Love in Idleness	Allan Macbeth
234	Nocturne No.5 H.37	John Field
235	2 Polonaises Op.26-1 cis moll	Frédéric François Chopin
236	Suite No.4 B flat major Cantabile R.115	Gottlieb Muffat
237	The nutcracker suite Op.71a “Dance of the reed-flutes”	Pyotr Il’yich Tchaikovsky
238	Sonate für Klavier Nr.48 C dur Hob.XVI:35 Op.30-1 Mov.1	Franz Joseph Haydn
239	L’arlesienne Suite No.1 Prelude	Georges Bizet
240	Nocturne “La séparation” G. vi, 204	Mikhail Ivanovich Glinka
241	Sonate für Klavier Nr.11 B dur Op.22 1.Satz	Ludwig van Beethoven
242	Symphony No.8 Op.88 Mov.3 Allegretto grazioso	Antonín Leopold Dvořák
243	Lieder ohne Worte Heft 1 Op.19 “Regrets”	Jakob Ludwig Felix Mendelssohn Bartholdy
244	Musicalische Vorstellung einiger biblischer Historien in sechs Sonaten auf dem Claviere zu spielen “Der Todtkranke und wieder gesunde Hiskias”	Johann Kuhnau
245	Madrigale	Achille Simonetti
246	Londonderry Air	Louis A. Saint-Jacome
247	Sonate für Klavier Nr.20 G dur Op.49-2 2.Satz	Ludwig van Beethoven
248	Sonate für Klavier Nｒ.7 D dur Op.10-3 1.Satz	Ludwig van Beethoven
249	Konzert für Klavier und Orchester Nr.5 Es dur Op.73 1.Satz	Ludwig van Beethoven
250	Symphony No.39 E flat major K.543	Wolfgang Amadeus Mozart
251	Konzert für Klavier und Orchester Nr.21 C dur K.467 Mov.1	Wolfgang Amadeus Mozart
252	Flute Quartet No.1 D major K.285	Wolfgang Amadeus Mozart
253	Easy duet	Louis A. Saint-Jacome
254	Frühling	Wilhelm Friedemann Bach
255	Adagio G minor	Tomaso Giovanni Albinoni
256	Der Tod und Das Mädchen Op.7-3 D.531 2.Satz	Franz Peter Schubert
257	Sonate für Klavier Nr.48 C dur Hob.XVI:35 Op.30-1 Mov.3 Finale	Franz Joseph Haydn
258	Winterreise D.911 Op.89 Der Lindenbaum	Franz Peter Schubert
259	Französische Suiten Nr.5 G dur BWV 816 Gavotte	Johann Sebastian Bach
260	Cantabile D dur Op.17 MS.109	Niccolò Paganinit
261	Winterreise D.911 Op.89 Wasserflut	Franz Peter Schubert
262	Sonate für Klavier Nr.12 As dur Op.26 2.Satz	Ludwig van Beethoven
263	The nutcracker suite Op.71a “Miniature overture”	Pyotr Il’yich Tchaikovsky
264	12 Etudes Op.25-9 “Butterfly” Ges dur	Frédéric François Chopin
265	Deux Mazurkas Caracterstiques “2.Le Menetrier” Op.19-2	Henryk Wieniawski
266	Grande valse brillante Es dur Op.18 CT207	Frédéric François Chopin
267	Woodland Sketches Op.51-1 To a Wild Rose	Edward Alexander MacDowell
